1,강남 MICE 관광특구
2,동대문 관광특구
3,명동 관광특구
4,이태원 관광특구
5,잠실 관광특구
6,종로·청계 관광특구
7,홍대 관광특구
8,경복궁·서촌마을
9,광화문·덕수궁
10,창덕궁·종묘
11,가산디지털단지역
12,강남역
13,건대입구역
14,고속터미널역
15,교대역
16,구로디지털단지역
17,서울역
18,선릉역
19,신도림역
20,신림역
21,신촌·이대역
22,역삼역
23,연신내역
24,용산역
25,왕십리역
26,DMC(디지털미디어시티)
27,창동 신경제 중심지
28,노량진
29,낙산공원·이화마을
30,북촌한옥마을
31,가로수길
32,성수카페거리
33,수유리 먹자골목
34,쌍문동 맛집거리
35,압구정로데오거리
36,여의도
37,영등포 타임스퀘어
38,인사동·익선동
39,국립중앙박물관·용산가족공원
40,남산공원
41,뚝섬한강공원
42,망원한강공원
43,반포한강공원
44,북서울꿈의숲
45,서울대공원
46,서울숲공원
47,월드컵공원
48,이촌한강공원
49,잠실종합운동장
50,잠실한강공원